# Family descriptions extracted from https://arxiv.org/html/2111.13030v2
# Regenerate with: julia --project=. examples/FanoFourfoldsK3.jl --refresh
A-65	𝒵(ℙ 1×ℙ 5,𝒪(0,3) ⊕ 𝒪(1,2))
A-66	𝒵(ℙ 2×ℙ 5,𝒪(0,3) ⊕ 𝒪(1,1) ⊕ 𝒪(1,1))
A-67	𝒵(ℙ 2×ℙ 5,𝒪(1,1) ⊕ 𝒬 ℙ 2 ​(0,2))
A-68	𝒵(ℙ 5×ℙ 6,𝒪(1,1) ⊕ 𝒬 ℙ 5 ​(0,1) ⊕ 𝒪(3,0))
A-69	𝒵(ℙ 1×Gr(2,5),𝒪(0,1) ⊕ 𝒪(0,2) ⊕ 𝒪(1,1))
C-1	𝒵(ℙ 1×ℙ 5,𝒪(0,3) ⊕ 𝒪(1,1))
C-10	𝒵(ℙ 1×ℙ 1×ℙ 5,𝒪(0,0,3) ⊕ 𝒪(0,1,1) ⊕ 𝒪(1,0,1))
C-11	𝒵(ℙ 1×ℙ 2×ℙ 5,𝒪(0,0,3) ⊕ 𝒬 ℙ 2 ​(0,0,1) ⊕ 𝒪(1,1,0))
C-12	𝒵(ℙ 1×ℙ 2×ℙ 5,𝒪(0,1,2) ⊕ 𝒬 ℙ 2 ​(0,0,1) ⊕ 𝒪(1,0,1))
C-13	𝒵(ℙ 1×Fl(1,2,6),𝒬 2 ⊕ 𝒪(0,1,2) ⊕ 𝒪(1,0,1))
C-14	𝒵(ℙ 1×ℙ 3×ℙ 5,𝒪(0,1,2) ⊕ 𝒬 ℙ 3 ​(0,0,1) ⊕ 𝒪(1,1,0))
C-15	𝒵(ℙ 1 2×ℙ 2 2×ℙ 5,𝒬 ℙ 1 2 ​(0,0,1) ⊕ 𝒬 ℙ 2 2 ​(0,0,1) ⊕ 𝒪(1,1,1))
C-16	𝒵(ℙ 2×ℙ 4×ℙ 5,𝒬 ℙ 4 ​(0,0,1) ⊕ 𝒪(1,1,1) ⊕ 𝒬 ℙ 2 ​(0,1,0))
C-17	𝒵(ℙ 2×ℙ 3×ℙ 5,𝒬 ℙ 3 ​(0,0,1) ⊕ 𝒪(1,0,2) ⊕ 𝒬 ℙ 2 ​(0,1,0))
C-2	𝒵(ℙ 2×ℙ 5,𝒬 ℙ 2 ​(0,1) ⊕ 𝒪(0,3))
C-3	𝒵(ℙ 2×ℙ 5,𝒪(1,2) ⊕ 𝒬 ℙ 2 ​(0,1))
C-4	𝒵(ℙ 3×ℙ 5,𝒪(1,2) ⊕ 𝒬 ℙ 3 ​(0,1))
C-5	𝒵(ℙ 5×Gr(2,8),𝒰 Gr(2,8)∨ ​(1,0) ⊕ 𝒪(1,1) ⊕ 𝒬 ℙ 5 ⊠ 𝒰 Gr(2,8)∨)
C-6	𝒵(ℙ 4×ℙ 5,𝒬 ℙ 4 ​(0,1) ⊕ 𝒪(2,1))
C-7	𝒵(ℙ 4×ℙ 5,𝒪(1,1) ⊕ ⋀ 3 𝒬 ℙ 4 ​(0,1))
C-8	𝒵(Fl(1,3,8),𝒬 2 ⊕ 2 ⊕ 𝒪(1,1) ⊕ ℛ 2 ∨ ​(1,1))
C-9	𝒵(ℙ 5×Gr(2,4),(𝒰 Gr(2,4)∨ ​(1,0)) ⊕ 2 ⊕ 𝒪(1,1))
GM-18	𝒵(ℙ 2×Gr(2,5),𝒰 Gr(2,5)∨ ​(1,0) ⊕ 𝒪(0,1) ⊕ 𝒪(0,2))
GM-19	𝒵(ℙ 2×Gr(2,5),𝒪(0,1) ⊕ 𝒪(1,1) ⊕ 𝒬 ℙ 2 ​(0,1))
GM-20	𝒵(Fl(1,2,5),𝒪(1,0) ⊕ 𝒪(0,1) ⊕ 𝒪(0,2))
GM-21	𝒵(Gr(2,4)×Gr(2,5),𝒪(0,2) ⊕ 𝒬 Gr(2,4)⊠ 𝒰 Gr(2,5)∨ ⊕ 𝒪(1,0))
GM-22	𝒵(Gr(2,4)×Gr(2,5),𝒬 Gr(2,4)⊠ 𝒰 Gr(2,5)∨ ⊕ 𝒪(0,1) ⊕ 𝒪(1,1))
GM-23	𝒵(Fl(1,3,5),𝒪(0,1) ⊕ 𝒪(1,1) ⊕ ℛ 2 ​(0,1))
K3-24	𝒵(ℙ 1×Gr(2,5),𝒪(1,1) ⊕ 𝒰 Gr(2,5)∨ ​(0,1))
K3-25	𝒵(ℙ 1×Gr(2,6),𝒪(1,1) ⊕ 𝒪 ​(0,1) ⊕ 4)
K3-26	𝒵(ℙ 1×Gr(3,6),𝒪(1,1) ⊕ 𝒪 ​(0,1) ⊕ 2 ⊕ ⋀ 2 𝒰 Gr(3,6)∨)
K3-27	𝒵(Fl(1,2,8),𝒬 2 ⊕ 𝒪(1,1) ⊕ 𝒪 ​(0,2) ⊕ 2)
K3-28	𝒵(ℙ 1×Gr(2,7),𝒪(0,1) ⊕ 𝒪(1,1) ⊕ 𝒬 Gr(2,7)∨ ​(0,1))
K3-29	𝒵(ℙ 2×ℙ 4,𝒪(1,1) ⊕ 𝒪(1,2))
K3-30	𝒵(ℙ 1×Gr(2,4),𝒪(1,2))
K3-31	𝒵(ℙ 3×ℙ 6,𝒪(0,2) ⊕ 𝒪(1,1) ⊕ ⋀ 2 𝒬 ℙ 3 ​(0,1))
K3-32	𝒵(Fl(1,2,5),𝒪(1,1) ⊕ 𝒪 ​(0,1) ⊕ 2)
K3-33	𝒵(ℙ 5×Gr(2,4),𝒰 Gr(2,4)∨ ​(1,0) ⊕ 𝒪(1,1) ⊕ 𝒬 Gr(2,4)​(1,0))
K3-34	𝒵(ℙ 3×Gr(2,5),𝒪 ​(0,1) ⊕ 2 ⊕ 𝒰 Gr(2,5)∨ ​(1,0) ⊕ 𝒪(1,1))
K3-35	𝒵(Gr(2,4)1×Gr(2,4)2,𝒪(0,1) ⊕ 𝒰 Gr(2,4)2 ∨ ​(1,0) ⊕ 𝒪(1,1))
K3-36	𝒵(ℙ 1×ℙ 1×ℙ 4,𝒪(0,0,3) ⊕ 𝒪(1,1,1))
K3-37	𝒵(ℙ 1×ℙ 1×ℙ 5,𝒪 ​(0,0,2) ⊕ 2 ⊕ 𝒪(1,1,1))
K3-38	𝒵(ℙ 1×ℙ 1×Gr(2,5),𝒪 ​(0,0,1) ⊕ 3 ⊕ 𝒪(1,1,1))
K3-39	𝒵(ℙ 1×ℙ 2×Gr(2,4),𝒬 ℙ 2 ​(0,0,1) ⊕ 𝒪(1,1,1))
K3-40	𝒵(ℙ 1 1×ℙ 2 1×ℙ 5,𝒪(0,0,2) ⊕ 𝒪(0,1,1) ⊕ 𝒪(1,0,2))
K3-41	𝒵(ℙ 1×ℙ 1×ℙ 3,𝒪(1,1,2))
K3-42	𝒵(ℙ 1×ℙ 2×Gr(2,4),𝒬 Gr(2,4)​(0,1,0) ⊕ 𝒪(1,0,2))
K3-43	𝒵(ℙ 1 2×ℙ 2 2×ℙ 4,𝒪(1,0,1) ⊕ 𝒪(1,1,1) ⊕ 𝒬 ℙ 2 2 ​(0,0,1))
K3-44	𝒵(ℙ 1×ℙ 2×ℙ 4,𝒪(0,1,1) ⊕ 𝒪(0,1,2) ⊕ 𝒪(1,0,1))
K3-45	𝒵(ℙ 1 2×ℙ 2 2×ℙ 4,𝒪(0,1,2) ⊕ 𝒪(1,1,0) ⊕ 𝒬 ℙ 1 2 ​(0,0,1))
K3-46	𝒵(ℙ 1×ℙ 3×ℙ 5,𝒬 ℙ 3 ​(0,0,1) ⊕ 𝒪(0,1,1) ⊕ 𝒪(1,1,1))
K3-47	𝒵(ℙ 1×ℙ 3×ℙ 3,𝒪 ​(0,1,1) ⊕ 2 ⊕ 𝒪(1,1,1))
K3-48	𝒵(ℙ 1×Fl(1,2,4),𝒪(0,0,1) ⊕ 𝒪(1,1,1))
K3-49	𝒵(ℙ 1×ℙ 2×ℙ 4,𝒪(0,0,2) ⊕ 𝒪(0,1,1) ⊕ 𝒪(1,1,1))
